+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
| 200160.000 | 201600.000 |        0 | 0.000000 | 0.524452 |
| 201600.000 | 203040.000 |        0 | 0.000000 | 0.524452 |
| 203040.000 | 204480.000 |        0 | 0.000000 | 0.524452 |
| 204480.000 | 205920.000 |        0 | 0.000000 | 0.524452 |
| 205920.000 | 207360.000 |        0 | 0.000000 | 0.524452 |
| 207360.000 | 208800.000 |      360 | 0.003600 | 0.528053 |
| 208800.000 | 210240.000 |      960 | 0.009601 | 0.537654 |
| 210240.000 | 211680.000 |     1380 | 0.013801 | 0.551455 |
| 211680.000 | 213120.000 |     1050 | 0.010501 | 0.561956 |
| 213120.000 | 214560.000 |        0 | 0.000000 | 0.561956 |
| 214560.000 | 216000.000 |        0 | 0.000000 | 0.561956 |
| 216000.000 | 217440.000 |      150 | 0.001500 | 0.563456 |
| 217440.000 | 218880.000 |      780 | 0.007801 | 0.571257 |
| 218880.000 | 220320.000 |     1320 | 0.013201 | 0.584458 |
| 220320.000 | 221760.000 |     1200 | 0.012001 | 0.596460 |
| 221760.000 | 223200.000 |      300 | 0.003000 | 0.599460 |
| 223200.000 | 224640.000 |        0 | 0.000000 | 0.599460 |
| 224640.000 | 226080.000 |       90 | 0.000900 | 0.600360 |
| 226080.000 | 227520.000 |      600 | 0.006001 | 0.606361 |
| 227520.000 | 228960.000 |     1080 | 0.010801 | 0.617162 |
| 228960.000 | 230400.000 |     1200 | 0.012001 | 0.629163 |
| 230400.000 | 231840.000 |      660 | 0.006601 | 0.635764 |
| 231840.000 | 233280.000 |       90 | 0.000900 | 0.636664 |
| 233280.000 | 234720.000 |        0 | 0.000000 | 0.636664 |
| 234720.000 | 236160.000 |      330 | 0.003300 | 0.639964 |
| 236160.000 | 237600.000 |        0 | 0.000000 | 0.639964 |
| 237600.000 | 239040.000 |        0 | 0.000000 | 0.639964 |
| 239040.000 | 240480.000 |        0 | 0.000000 | 0.639964 |
| 240480.000 | 241920.000 |        0 | 0.000000 | 0.639964 |
| 241920.000 | 243360.000 |      900 | 0.009001 | 0.648965 |
| 243360.000 | 244800.000 |      900 | 0.009001 | 0.657966 |
| 244800.000 | 246240.000 |     1410 | 0.014101 | 0.672067 |
| 246240.000 | 247680.000 |      540 | 0.005401 | 0.677468 |
| 247680.000 | 249120.000 |        0 | 0.000000 | 0.677468 |
| 249120.000 | 250560.000 |        0 | 0.000000 | 0.677468 |
| 250560.000 | 252000.000 |      600 | 0.006001 | 0.683468 |
| 252000.000 | 253440.000 |      810 | 0.008101 | 0.691569 |
| 253440.000 | 254880.000 |     1260 | 0.012601 | 0.704170 |
| 254880.000 | 256320.000 |      900 | 0.009001 | 0.713171 |
| 256320.000 | 257760.000 |      180 | 0.001800 | 0.714971 |
| 257760.000 | 259200.000 |        0 | 0.000000 | 0.714971 |
| 259200.000 | 260640.000 |      360 | 0.003600 | 0.718572 |
| 260640.000 | 262080.000 |      780 | 0.007801 | 0.726373 |
| 262080.000 | 263520.000 |     1080 | 0.010801 | 0.737174 |
| 263520.000 | 264960.000 |     1050 | 0.010501 | 0.747675 |
| 264960.000 | 266400.000 |      360 | 0.003600 | 0.751275 |
| 266400.000 | 267840.000 |       90 | 0.000900 | 0.752175 |
| 267840.000 | 269280.000 |      150 | 0.001500 | 0.753675 |
| 269280.000 | 270720.000 |        0 | 0.000000 | 0.753675 |
| 270720.000 | 272160.000 |      900 | 0.009001 | 0.762676 |
| 272160.000 | 273600.000 |        0 | 0.000000 | 0.762676 |
| 273600.000 | 275040.000 |        0 | 0.000000 | 0.762676 |
| 275040.000 | 276480.000 |        0 | 0.000000 | 0.762676 |
| 276480.000 | 277920.000 |      900 | 0.009001 | 0.771677 |
| 277920.000 | 279360.000 |      900 | 0.009001 | 0.780678 |
| 279360.000 | 280800.000 |     1440 | 0.014401 | 0.795080 |
| 280800.000 | 282240.000 |      510 | 0.005101 | 0.800180 |
| 282240.000 | 283680.000 |        0 | 0.000000 | 0.800180 |
| 283680.000 | 285120.000 |        0 | 0.000000 | 0.800180 |
| 285120.000 | 286560.000 |      690 | 0.006901 | 0.807081 |
| 286560.000 | 288000.000 |      870 | 0.008701 | 0.815782 |
| 288000.000 | 289440.000 |     1200 | 0.012001 | 0.827783 |
| 289440.000 | 290880.000 |      780 | 0.007801 | 0.835584 |
| 290880.000 | 292320.000 |      210 | 0.002100 | 0.837684 |
| 292320.000 | 293760.000 |        0 | 0.000000 | 0.837684 |
| 293760.000 | 295200.000 |      420 | 0.004200 | 0.841884 |
| 295200.000 | 296640.000 |      720 | 0.007201 | 0.849085 |
| 296640.000 | 298080.000 |     1140 | 0.011401 | 0.860486 |
| 298080.000 | 299520.000 |      990 | 0.009901 | 0.870387 |
| 299520.000 | 300960.000 |      360 | 0.003600 | 0.873987 |
| 300960.000 | 302400.000 |       90 | 0.000900 | 0.874887 |
| 302400.000 | 303840.000 |      180 | 0.001800 | 0.876688 |
| 303840.000 | 305280.000 |      660 | 0.006601 | 0.883288 |
| 305280.000 | 306720.000 |        0 | 0.000000 | 0.883288 |
| 306720.000 | 308160.000 |      900 | 0.009001 | 0.892289 |
| 308160.000 | 309600.000 |        0 | 0.000000 | 0.892289 |
